object_type,materials,n,made_of (primary),made_of (support),classified_as (object type) (primary),classified_as (object type) (secondary),technique,editorial notes,
Painting,,548703,,,300033618,,300054216,,"AAT places its concepts in hierarchies, and similar-seeming terms often mean different things. ""Watercolor (paint)"" is not just a different word, but a fundamentally different concept form ""watercolors (paintings)"". The former is a specific kind of material, the latter is a visual work of a certain kind of material. Here, we are generally trying to describe works based on physical materials, not abstract categories, so you would want to select the former. However, AAT is not always so clear, or so complete. Should I make the support ""panel (wood by form)"" or ""wood (plant material)""? Remember that we are going for usability, not extreme precision. As ""sur bois"" and ""on panel"" - which are very common statements - are already both mapped to ""panel (wood by form)"", then stick with that, unless you've got something extra specific, e.g. you know specifically that it's an oak panel."
Peinture,,56522,,,300033618,,300054216,,
Peinture,sur toile,49578,,300014078,300033618,,300054216,,
Gemälde,Öl auf Leinwand,46086,300015050,300014078,300033618,,300054216;300178684,,
Gemälde,auf Leinwand,42431,,300014078,300033618,,300054216,,
Drawing,,37762,,,300033973,,300054196,,
Gemälde,,33398,,,300033618,,300054216,,
Peinture,sur bois,28749,,300014657,300033618,,300054216,,
Dessin,,28008,,,300033973,,300054196,,
Painting,on panel,27986,,300014657,300033618,,300054216,,
Painting,on canvas,26169,,300014078,300033618,,300054216,,
Gemälde,auf Holz,25148,,300014657,300033618,,300054216,,
Gemälde,Öl auf Holz,21839,300015050,300014657,300033618,,300054216;300178684,,
Aquarell,,20954,300015045,,300078925,,300053363;300054196,,
Skulptur,Holz,13309,300011914,,300047090,,300264383;300186208,,
Skulptur,Bronze,9838,300010957,,300047090,300047333,300264383,second object type for bronzes,
Painting,on copper,7773,,300011020,300033618,,300054216,,
Zeichnung,Feder,7689,,,300033973,,300054196;300054196,"using ""pen"" as a technique",
Gemälde,Öl,7336,300015050,,300033618,,300054216;300178684,,
Zeichnung,Bleistift,7068,300410335,,300033973,300410334,300054196,second object type for pencil drawing,
Painting,sur bois,7017,,300014657,300033618,,300054216,,
Painting,sur toile,6640,,300014078,300033618,,300054216,,
Peinture,sur cuivre,5819,,300011020,300033618,,300054216,,
Painting,op paneel,5587,,300014657,300033618,,300054216,,
Gemälde,Öl auf Karton,4993,300015050,300014224,300033618,,300054216;300178684,,
Miniatur,auf Elfenbein,4846,,300011857,300033936,,300054216,,
Painting,op doek,4714,,300014078,300033618,,300054216,,
Zeichnung,Kreide,4225,300011727,,300033973,,300054196,,
Miniature,,3879,,,300033936,,300054216,,
Sculpture,,3777,,,300047090,,300264383,,
Sculpture,bronze,3360,300010957,,300047090,300047333,300264383,,
Painting,in oil,3288,300015050,,300033618,,300054216;300178684,,
Skulptur,,3175,,,300047090,,300264383,,
Miniatur,Elfenbein,2969,,300011857,300033936,,300054216,,
Pastell,,2898,300404632,,300076922,,300054196,,
Zeichnung,,2854,,,300033973,,300054196,,
Zeichnung,Tusche,2834,300015012,,300033973,,300054196,,
Gemälde,auf Kupfer,2569,,300011020,300033618,,300054216,,
Zeichnung,Blei,2569,,,300033973,,300054196,,
Zeichnung,Kohle,2501,300012862,,300033973,,300054196,assuming charcoal,
Miniatur,,2321,,,300033936,,300054216,,
Gemälde,Öl auf Pappe,2211,300015050,300014224,300033618,,300054216;300178684,,
Watercolor,,2166,300015045,,300078925,,300053363;300054196,,
Aquarelle,,,300015046,,300078926,,300053363;300054197,,
Aquarelle,gouache,2041,300070114,,300078925,,300404215;300054196,,
Sculpture,in bronze,1984,300010957,,300047090,300047333,300264383,,
Painting,[on panel],1807,,300014657,300033618,,300054216,,
Skulptur,Marmor,1790,300011443,,300047090,,300264383,,
Aquarell,Gouache,1765,300070114,,300078925,,300404215;300054196,,
Zeichnung,Rötel,1756,300080064;300011727,,300033973,300395514,300054196,second object type for chalk drawing,
Gemälde,auf Pappe,1689,,300014224,300033618,,300054216,,
Gemälde,auf Malpappe,1530,,300014224,300033618,,300054216,,
Painting,on glass,1505,,300010797,300033618,,300054216,,
Skulptur,Elfenbein,1484,300011857,,300047090,,300264383;300053149,,
Dessin,plume,1468,,,300033973,,300054196;300054196,,
Dessin,coloré,1454,,,300033973,300078925,300054196,watercolor? probably not,
Painting,Öl,1431,300015050,,300033618,,300054216;300178684,,
Dessin,sanguine,1405,300080064,,300033973,,300054196,,
Sculpture,in marble,1378,300011443,,300047090,,300264383;300186208,,
Zeichnung,Sepia,1306,300015025,,300033973,,300054196,,
Gemälde,auf Karton,1161,,300014224,300033618,,300054216,,
Miniatur,Aquarell,1083,300015045,,300033936,300078925,300054216;300053363,,
Gemälde,Öl auf Kupfer,1027,300015050,300011020,300033618,,300054216;300178684,,
