loc_verbatim,loc_name,loc_auth,,
", Paris, France (rue Drouot)",rue Drouot,"Paris, France",,
(au Boulevard),19 boulevard Montmartre,"Paris, France",,
(La Haye,The Hague,"The Hague, The Netherlands",,
(La Haye),The Hague,"The Hague, The Netherlands",,
[illi],[no place],[no place],,
[illi] de Londres,London,"London, England, UK",,
"[vente publique, rayé]",[no place],[no place],,
"1 Aberhean terrace, London",1 Aberhean terrace,"London, England, UK",,
1 avenue de Camoëns,1 avenue de Camoëns,"Paris, France",,
1 avenue de Cornoëns,1 avenue de Camoëns,"Paris, France",,
1 rue Chardin,1 rue Chardin,"Paris, France",,
"1 rue du Château, Neuilly",1 rue du Château,"Neuilly sur Seine, France",,
1 Rue Saint Dominique,1 rue Saint Dominique,"Paris, France",,
1 rue Scribe,1 rue Scribe,"Paris, France",,
"1, rue Massot Geneviève",1 rue Massot Geneviève,"Paris, France",,
10 Avenue du bois de Boulogne,10 avenue du bois de Boulogne,"Paris, France",,
10 Boulevard Bonne nouvelle,10 boulevard Bonne nouvelle,"Paris, France",,
10 Boulevard Malhesherbes,10 boulevard Malesherbes,"Paris, France",,
"10 Hereford Square, London",10 Hereford Square,"London, England, UK",,
"10 rue Auellm, Anvers",10 rue Auellm,"Antwerp, Belgium",,
10 rue Charlot,10 rue Charlot,"Paris, France",,
10 Rue de Couralles,10 rue de Courcelles,"Paris, France",,
10 Rue de Courcelles,10 rue de Courcelles,"Paris, France",,
10 rue de Montchamier,10 rue de Montchanin,"Montceau les Mines, France",,
10 rue de Montchanin,10 rue de Montchanin,"Montceau les Mines, France",,
10 rue de P. Brandry,10 rue de P. Brandry,France,,
10 Rue de Thorm,10 rue de Thorm,France,,
10 rue Frochet,10 rue Frochot,"Paris, France",,
10 rue Froehot,10 rue Frochot,"Paris, France",,
10 Rue Grange Batelière,10 rue Grange Batelière,"Paris, France",,
10 rue Laffitte,10 rue Laffitte,"Paris, France",,
10 rue LAffitte,10 rue Laffitte,"Paris, France",,
10 Rue Laffitte,10 rue Laffitte,"Paris, France",,
10 rue Lamenais,10 rue Lamennais,"Paris, France",,
10 rue Lamennais,10 rue Lamennais,"Paris, France",,
10 rue Laurennais,10 rue Lamennais,"Paris, France",,
10 rue Pasquier,10 rue Pasquier,"Paris, France",,
10 rue Trochot,10 rue Frochot,"Paris, France",,
10 Rur Boissy d'Anglas,10 rue Boissy d'Anglas,"Paris, France",,
100 Rue de Longchamps,100 rue de Longchamp,"Paris, France",,
101 avenue de Neuilly,101 avenue de Neuilly,"Paris, France",,
101 avenue des Champs Elysées,101 avenue des Champs Elysées,"Paris, France",,
101 Rue de Richelieu,101 rue de Richelieu,"Paris, France",,
102 Avenue des Champs Elysées,102 avenue des Champs Elysées,"Paris, France",,
102 Champs Elysées,102 Champs Elysées,"Paris, France",,
102 rue blanche,102 rue Blanche,"Paris, France",,
103 Boulevard Haussmann,103 boulevard Haussmann,"Paris, France",,
103 Boulevrad Malesherbes,103 boulevard Malesherbes,"Paris, France",,
103 Rue Saint Lazare,103 rue Saint Lazare,"Paris, France",,
104 Boulevard de Clichy,104 boulevard de Clichy,"Paris, France",,
"104, Boulevard de Clichy",104 boulevard de Clichy,"Paris, France",,
"105 Boulevard de la Reine, Versailles",105 boulevard de la Reine,"Versailles, France",,
106 Boulevard Richard Lenoir,106 boulevard Richard Lenoir,"Paris, France",,
107 Avenue Victor Hugo,107 avenue Victor Hugo,"Paris, France",,
107 rue Ordener,107 rue Ordener,"Paris, France",,
11 avenue des Tilleuls,11 avenue des Tilleuls,"Paris, France",,
11 Impasse des Belles Fénilles,11 Impasse des Belles Feuilles,"Paris, France",,
11 passage Stanislas,11 rue Stanislas,"Paris, France",,
11 Place Pigalle,11 Place Pigalle,"Paris, France",,
11 Quai de Bourbon,11 quai de Bourbon,"Paris, France",,
11 Rue Boissonade,11 rue Boissonade,"Paris, France",,
11 rue de Navarin,11 rue de Navarin,"Paris, France",,
11 Rue de Solférino,11 rue de Solférino,"Paris, France",,
11 Rue des Beaux arts,11 rue des Beaux Arts,"Paris, France",,
11 Rue des Beaux Arts,11 rue des Beaux Arts,"Paris, France",,
11 rue Pigalle,11 rue Pigalle,"Paris, France",,
11 rue Scribe,11 rue Scribe,"Paris, France",,
110 Boulevard Haussmann,110 boulevard Haussmann,"Paris, France",,
