field,pi_record_no,place,same as,part of
consign_loc,K-12035,Paris,tgn/7008038,
consign_loc,K-12036,Paris,tgn/7008038,
consign_loc,K-12037,Paris,tgn/7008038,
consign_loc,K-12038,Paris,tgn/7008038,
consign_loc,K-12039,Paris,tgn/7008038,
consign_loc,K-12040,Paris,tgn/7008038,
consign_loc,K-12041,Paris,tgn/7008038,
consign_loc,K-12042,Paris,tgn/7008038,
consign_loc,K-12043,Paris,tgn/7008038,
consign_loc,K-12044,Paris,tgn/7008038,
consign_loc,K-12046,Paris,tgn/7008038,
consign_loc,K-12047,Paris,tgn/7008038,
consign_loc,K-12048,Paris,tgn/7008038,
consign_loc,K-12049,Paris,tgn/7008038,
consign_loc,K-12050,Paris,tgn/7008038,
consign_loc,K-12051,Paris,tgn/7008038,
consign_loc,K-12052,Paris,tgn/7008038,
consign_loc,K-12053,Paris,tgn/7008038,
consign_loc,K-12054,Paris,tgn/7008038,
consign_loc,K-12055,Paris,tgn/7008038,
consign_loc,K-12056,Paris,tgn/7008038,
consign_loc,K-12068,Paris,tgn/7008038,
consign_loc,K-12069,Paris,tgn/7008038,
consign_loc,K-12070,Paris,tgn/7008038,
consign_loc,K-12071,Paris,tgn/7008038,
consign_loc,K-12072,Paris,tgn/7008038,
consign_loc,K-12073,Paris,tgn/7008038,
consign_loc,K-12074,Paris,tgn/7008038,
consign_loc,K-12098,Paris,tgn/7008038,
consign_loc,K-12155,Munich,tgn/7004333,
consign_loc,K-12156,Munich,tgn/7004333,
consign_loc,K-12157,Munich,tgn/7004333,
consign_loc,K-12158,Munich,tgn/7004333,
consign_loc,K-12159,Munich,tgn/7004333,
consign_loc,K-12160,Munich,tgn/7004333,
consign_loc,K-12161,Munich,tgn/7004333,
consign_loc,K-12162,Munich,tgn/7004333,
consign_loc,K-12163,Munich,tgn/7004333,
consign_loc,K-12164,Munich,tgn/7004333,
consign_loc,K-12165,Munich,tgn/7004333,
consign_loc,K-12166,Munich,tgn/7004333,
consign_loc,K-12167,Munich,tgn/7004333,
consign_loc,K-12168,Munich,tgn/7004333,
consign_loc,K-14073,Paris,tgn/7008038,
consign_loc,K-14074,Paris,tgn/7008038,
consign_loc,K-14075,Paris,tgn/7008038,
consign_loc,K-14076,Paris,tgn/7008038,
consign_loc,K-14077,Paris,tgn/7008038,
consign_loc,K-14078,Paris,tgn/7008038,
consign_loc,K-14079,Paris,tgn/7008038,
consign_loc,K-14080,Paris,tgn/7008038,
consign_loc,K-14081,Paris,tgn/7008038,
consign_loc,K-14082,Paris,tgn/7008038,
consign_loc,K-14083,Paris,tgn/7008038,
consign_loc,K-14084,Paris,tgn/7008038,
consign_loc,K-14085,Paris,tgn/7008038,
consign_loc,K-14086,Paris,tgn/7008038,
consign_loc,K-14087,Paris,tgn/7008038,
consign_loc,K-14088,Paris,tgn/7008038,
consign_loc,K-14089,Paris,tgn/7008038,
consign_loc,K-14090,Paris,tgn/7008038,
consign_loc,K-14091,Paris,tgn/7008038,
consign_loc,K-14092,Paris,tgn/7008038,
consign_loc,K-14093,Paris,tgn/7008038,
consign_loc,K-14094,Paris,tgn/7008038,
consign_loc,K-14095,Paris,tgn/7008038,
consign_loc,K-14096,Paris,tgn/7008038,
consign_loc,K-14097,Paris,tgn/7008038,
consign_loc,K-18387,London,tgn/7011781,
consign_loc,K-19178,London,tgn/7011781,
consign_loc,K-19179,London,tgn/7011781,
consign_loc,K-19180,London,tgn/7011781,
consign_loc,K-19181,London,tgn/7011781,
consign_loc,K-19182,London,tgn/7011781,
consign_loc,K-19183,London,tgn/7011781,
consign_loc,K-19199,Munich,tgn/7004333,
