field,pi_record_no,place,same as,part of
seller_loc_1,K-40452,"London, England, UK",tgn/7011781,
seller_loc_1,K-40453,"Paris, France",tgn/7008038,
seller_loc_1,K-40454,"Paris, France",tgn/7008038,
seller_loc_1,K-40455,"Paris, France",tgn/7008038,
seller_loc_1,K-40456,"Paris, France",tgn/7008038,
seller_loc_1,K-40457,"Paris, France",tgn/7008038,
seller_loc_1,K-40458,"Paris, France",tgn/7008038,
seller_loc_1,K-1,"Paris, France",tgn/7008038,
seller_loc_1,K-31,"Paris, France",tgn/7008038,
seller_loc_1,K-34,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-35,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-36,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-54,"Paris, France",tgn/7008038,
seller_loc_1,K-56,"London, England, UK",tgn/7011781,
seller_loc_1,K-62,"Chicago, IL, USA",tgn/7013596,
seller_loc_1,K-63,"München, Deutschland",tgn/7004333,
seller_loc_1,K-64,"München, Deutschland",tgn/7004333,
seller_loc_1,K-65,"München, Deutschland",tgn/7004333,
seller_loc_1,K-66,"München, Deutschland",tgn/7004333,
seller_loc_1,K-67,"München, Deutschland",tgn/7004333,
seller_loc_1,K-68,"Paris, France",tgn/7008038,
seller_loc_1,K-69,"München, Deutschland",tgn/7004333,
seller_loc_1,K-70,"München, Deutschland",tgn/7004333,
seller_loc_1,K-71,"Paris, France",tgn/7008038,
seller_loc_1,K-72,"München, Deutschland",tgn/7004333,
seller_loc_1,K-73,"München, Deutschland",tgn/7004333,
seller_loc_1,K-74,"Paris, France",tgn/7008038,
seller_loc_1,K-75,"Paris, France",tgn/7008038,
seller_loc_1,K-76,"München, Deutschland",tgn/7004333,
seller_loc_1,K-77,"Munchen, Deutschland",tgn/7004333,
seller_loc_1,K-78,"Munchen, Deutschland",tgn/7004333,
seller_loc_1,K-79,"Munchen, Deutschland",tgn/7004333,
seller_loc_1,K-80,"Paris, France",tgn/7008038,
seller_loc_1,K-81,"Munchen, Deutschland",tgn/7004333,
seller_loc_1,K-82,"London, England, UK",tgn/7011781,
seller_loc_1,K-82,"Paris, France",tgn/7008038,
seller_loc_1,K-83,"London, England, UK",tgn/7011781,
seller_loc_1,K-83,"Paris, France",tgn/7008038,
seller_loc_1,K-84,"London, England, UK",tgn/7011781,
seller_loc_1,K-84,"Paris, France",tgn/7008038,
seller_loc_1,K-85,"Paris, France",tgn/7008038,
seller_loc_1,K-86,"Paris, France",tgn/7008038,
seller_loc_1,K-87,"Paris, France",tgn/7008038,
seller_loc_1,K-88,"Paris, France",tgn/7008038,
seller_loc_1,K-89,"London, England, UK",tgn/7011781,
seller_loc_1,K-89,"Paris, France",tgn/7008038,
seller_loc_1,K-90,"London, England, UK",tgn/7011781,
seller_loc_1,K-90,"Paris, France",tgn/7008038,
seller_loc_1,K-91,"London, England, UK",tgn/7011781,
seller_loc_1,K-92,"London, England, UK",tgn/7011781,
seller_loc_1,K-93,"London, England, UK",tgn/7011781,
seller_loc_1,K-94,"London, England, UK",tgn/7011781,
seller_loc_1,K-95,"London, England, UK",tgn/7011781,
seller_loc_1,K-96,"Brussels, Belgium",tgn/7007868,
seller_loc_1,K-97,"London, England, UK",tgn/7011781,
seller_loc_1,K-97,"Paris, France",tgn/7008038,
seller_loc_1,K-98,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-99,"London, England, UK",tgn/7011781,
seller_loc_1,K-100,"München, Deutschland",tgn/7004333,
seller_loc_1,K-101,"München, Deutschland",tgn/7004333,
seller_loc_1,K-102,"München, Deutschland",tgn/7004333,
seller_loc_1,K-103,"München, Deutschland",tgn/7004333,
seller_loc_1,K-104,"München, Deutschland",tgn/7004333,
seller_loc_1,K-105,"München, Deutschland",tgn/7004333,
seller_loc_1,K-106,"München, Deutschland",tgn/7004333,
seller_loc_1,K-107,"Paris, France",tgn/7008038,
seller_loc_1,K-108,"Frankfurt, Deutschland",tgn/7193538,
seller_loc_1,K-109,"London, England, UK",tgn/7011781,
seller_loc_1,K-110,"Paris, France",tgn/7008038,
seller_loc_1,K-111,"Paris, France",tgn/7008038,
seller_loc_1,K-112,"Paris, France",tgn/7008038,
seller_loc_1,K-113,"Paris, France",tgn/7008038,
seller_loc_1,K-114,"Paris, France",tgn/7008038,
seller_loc_1,K-115,"Paris, France",tgn/7008038,
seller_loc_1,K-118,"Paris, France",tgn/7008038,
seller_loc_1,K-119,"Paris, France",tgn/7008038,
seller_loc_1,K-120,"Paris, France",tgn/7008038,
seller_loc_1,K-121,"Paris, France",tgn/7008038,
seller_loc_1,K-122,"Paris, France",tgn/7008038,
seller_loc_1,K-123,"Paris, France",tgn/7008038,
seller_loc_1,K-124,"Paris, France",tgn/7008038,
seller_loc_1,K-125,"Paris, France",tgn/7008038,
seller_loc_1,K-126,"Paris, France",tgn/7008038,
seller_loc_1,K-127,"Paris, France",tgn/7008038,
seller_loc_1,K-128,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-129,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-130,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-131,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-132,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-133,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-134,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-135,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-136,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-137,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-138,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-139,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-140,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-141,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-142,"Düsseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-143,"Düsseldorf, Deutschland",tgn/7004443,
